,task_id,Species,Element,Oxidation_State,magmom,ce_symbol,csm,ionic_radius,Shannon_IR,Shannon_CR,full_formula,pretty_formula,e_above_hull,formation_energy_per_atom,cohesive_energy,Average Coordination,STD of Coordination,Cif File
0,mp-9761,Re6+,Re,+6,-0.0,O:6,0.8856366419108792,0.69,0.55,0.69,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
1,mp-9761,Re6+,Re,+6,-0.0,O:6,0.8856366419108794,0.69,0.55,0.69,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
2,mp-9761,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
3,mp-9761,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
4,mp-9761,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
5,mp-9761,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
6,mp-9761,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
7,mp-9761,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.10684226124999974,-2.040015150937501,6.525280196250001,6.0,0.0,Re2O6_mp-9761.cif
8,mp-7228,Re4+,Re,+4,0.0,O:6,0.49195588149644764,0.77,0.63,0.77,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
9,mp-7228,Re4+,Re,+4,-0.0,O:6,0.4919558814964488,0.77,0.63,0.77,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
10,mp-7228,Re4+,Re,+4,-0.001,O:6,0.4919558814964472,0.77,0.63,0.77,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
11,mp-7228,Re4+,Re,+4,0.001,O:6,0.4919558814964478,0.77,0.63,0.77,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
12,mp-7228,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
13,mp-7228,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
14,mp-7228,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
15,mp-7228,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
16,mp-7228,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
17,mp-7228,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
18,mp-7228,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
19,mp-7228,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re4O8,ReO2,0.0017118530555517708,-1.9066058466666658,6.7538839975,6.0,0.0,Re4O8_mp-7228.cif
20,mp-32795,Re6+,Re,+6,-0.0,O:6,0.21368136363119103,0.69,0.55,0.69,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
21,mp-32795,Re5+,Re,+5,0.0,O:6,0.15415907177356736,0.72,0.58,0.72,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
22,mp-32795,Re5+,Re,+5,0.0,O:6,0.15415907177356708,0.72,0.58,0.72,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
23,mp-32795,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
24,mp-32795,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
25,mp-32795,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
26,mp-32795,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
27,mp-32795,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
28,mp-32795,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
29,mp-32795,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
30,mp-32795,O2-,O,-2,0.0,None:-1,1.0,1.26,,,Re3O8,Re3O8,0.18939078196969739,-1.8924103449999992,6.476406237272727,6.0,0.0,Re3O8_mp-32795.cif
31,mp-547271,Re6+,Re,+6,-0.0,O:6,6.327895580704062e-06,0.69,0.55,0.69,Re2O6,ReO3,0.0029523100000012903,-2.1439051021874995,6.629170147499999,6.0,0.0,Re2O6_mp-547271.cif
32,mp-547271,Re6+,Re,+6,-0.0,O:6,6.327895580704064e-06,0.69,0.55,0.69,Re2O6,ReO3,0.0029523100000012903,-2.1439051021874995,6.629170147499999,6.0,0.0,Re2O6_mp-547271.cif
33,mp-547271,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.0029523100000012903,-2.1439051021874995,6.629170147499999,6.0,0.0,Re2O6_mp-547271.cif
34,mp-547271,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.0029523100000012903,-2.1439051021874995,6.629170147499999,6.0,0.0,Re2O6_mp-547271.cif
35,mp-547271,O2-,O,-2,-0.0,None:-1,1.0,1.26,,,Re2O6,ReO3,0.0029523100000012903,-2.1439051021874995,6.629170147499999,6.0,0.0,Re2O6_mp-547271.cif
